text,target,clean_text
My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,ham,love come took long leave zaher got word ym happy see sad left miss
I am sorry it hurt you.,ham,sorry hurt
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ham,feel nauseous pissed eat sweet week cause today planning pig dieting week hungry
Ok lor but not too early. Me still having project meeting now.,ham,ok lor early still project meeting
"Call me da, i am waiting for your call.",ham,call da waiting call
I could ask carlos if we could get more if anybody else can chip in,ham,could ask carlos could get anybody else chip
Was actually about to send you a reminder today. Have a wonderful weekend,ham,actually send reminder today wonderful weekend
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",ham,people see msg think iam addicted msging wrong bcoz know iam addicted sweet friend bslvyl
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,ham,hey gave photo registered driving ah tmr wanna meet yck
Dont talk to him ever ok its my word.,ham,dont talk ever ok word
When u wana see it then,ham,u wana see
On ma way to school. Can you pls send me ashley's number,ham,way school pls send ashley number
It shall be fine. I have avalarr now. Will hollalater,ham,shall fine avalarr hollalater
She went to attend another two rounds today..but still did't reach home..,ham,went attend another two round today still reach home
Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,ham,actually deleted old website blogging magicalsongs blogspot com
"K, wait chikku..il send aftr  &lt;#&gt; mins",ham,k wait chikku il send aftr lt gt min
But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,ham,diet ate 1 many slice pizza yesterday ugh always diet
K:)i will give my kvb acc details:),ham,k give kvb acc detail
Oh all have to come ah?,ham,oh come ah
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy,spam,money r lucky winner 2 claim prize text money 2 88600 1million give away ppt150x3 normal text rate box403 w1t1jy
I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),ham,really sorry b able 2 friday hope u find alternative hope yr term going ok
Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,ham,congratulation ore mo owo wa enjoy wish many happy moment fro wherever go
So do you have samus shoulders yet,ham,samus shoulder yet
What time you think you'll have it? Need to know when I should be near campus,ham,time think need know near campus
"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",spam,dear matthew please call 09063440451 landline complimentary 4 lux tenerife holiday 1000 cash await collection ppm150 sae c box334 sk38xh
Then dun wear jeans lor...,ham,dun wear jean lor
"Since when, which side, any fever, any vomitin.",ham,since side fever vomitin
K:)k.are you in college?,ham,k k college
"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",spam,urgent call 09061749602 landline complimentary 4 tenerife holiday 10 000 cash await collection sae c box 528 hp20 1yf 150ppm 18
Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,ham,better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh
No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),ham,sell ton coin sell coin someone thru paypal voila money back life pocket
Theyre doing it to lots of places. Only hospitals and medical places are safe.,ham,theyre lot place hospital medical place safe
How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),spam,getting touch folk waiting company txt back name age opt enjoy community 150p sm
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,ham,also sorta blown couple time recently id rather text blue looking weed
"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",ham,sent score sophas secondary application school think thinking applying research cost also contact joke ogunrinde school one le expensive one
I cant wait to see you! How were the photos were useful? :),ham,cant wait see photo useful
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam,ur cash balance currently 500 pound maximize ur cash send go 86688 150p msg cc 08718720201 po box 114 14 tcr w1
Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,ham,hey booked kb sat already lesson going ah keep sat night free need meet confirm lodging
Chk in ur belovd ms dict,ham,chk ur belovd m dict
Is that what time you want me to come?,ham,time want come
"Awesome, lemme know whenever you're around",ham,awesome lemme know whenever around
Shb b ok lor... Thanx...,ham,shb b ok lor thanx
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",ham,beautiful truth gravity read carefully heart feel light someone feel heavy someone leaf good night
Also remember to get dobby's bowl from your car,ham,also remember get dobby bowl car
Filthy stories and GIRLS waiting for your,spam,filthy story girl waiting
Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,ham,sorry c ur msg yar lor poor thing 4 one night tmr u brand new room 2 sleep
"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",ham,love decision feeling could decide love life would much simpler le magical
Welp apparently he retired,ham,welp apparently retired
My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,ham,sort code acc bank natwest reply confirm sent right person
Where @,ham,
U sure u can't take any sick time?,ham,u sure u take sick time
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,urgent trying contact u today draw show 800 prize guaranteed call 09050001808 land line claim m95 valid12hrs
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham,watching cartoon listening music amp eve go temple amp church u
Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,ham,yo chad gymnastics class wanna take site say christian class full
Are you this much buzy,ham,much buzy
Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,ham,better still catch let ask sell lt gt
I am not sure about night menu. . . I know only about noon menu,ham,sure night menu know noon menu
What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,ham,u want come back beautiful necklace token heart thats give wife liking see one give dont call wait till come
Are you willing to go for aptitude class.,ham,willing go aptitude class
"It wont b until 2.15 as trying 2 sort house out, is that ok?",ham,wont b 2 15 trying 2 sort house ok
"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",ham,yar lor wan 2 go c horse racing today mah eat earlier lor ate chicken rice u
"Haha awesome, omw back now then",ham,haha awesome omw back
Yup i thk so until e shop closes lor.,ham,yup thk e shop close lor
what is your account number?,ham,account number
Eh u send wrongly lar...,ham,eh u send wrongly lar
Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,ham,hey ad crap nite borin without ya 2 boggy u boring biatch thanx u wait til nxt time il ave ya
Ok i shall talk to him,ham,ok shall talk
Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,ham,dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing
Hey you can pay. With salary de. Only  &lt;#&gt; .,ham,hey pay salary de lt gt
Another month. I need chocolate weed and alcohol.,ham,another month need chocolate weed alcohol
If he started searching he will get job in few days.he have great potential and talent.,ham,started searching get job day great potential talent
Reckon need to be in town by eightish to walk from * carpark.,ham,reckon need town eightish walk carpark
"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",spam,congrats 2 mobile 3g videophones r call 09063458130 videochat wid mate play java game dload polyph music noline rentl
LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,ham,look fuckin time fuck think
Yo guess what I just dropped,ham,yo guess dropped
Carlos says he'll be at mu in  &lt;#&gt;  minutes,ham,carlos say mu lt gt minute
I'm in office now . I will call you  &lt;#&gt;  min:),ham,office call lt gt min
"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",ham,geeee miss already know think fuck wait till next year together loving kiss
"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn",ham,yun ah ubi one say wan call tomorrow call 67441233 look irene ere got bus8 22 65 61 66 382 ubi cres ubi tech park 6ph 1st 5wkg day n
Ugh. Gotta drive back to sd from la. My butt is sore.,ham,ugh gotta drive back sd la butt sore
26th OF JULY,ham,26th july
Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,ham,hi im relaxing time ever get 7am every day party good night get home tomorrow 5ish
Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,ham,wan come come lor din c stripe skirt
The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,ham,xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas
"I can't, I don't have her number!",ham,number
Change again... It's e one next to escalator...,ham,change e one next escalator
Yetunde i'm in class can you not run water on it to make it ok. Pls now.,ham,yetunde class run water make ok pls
Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,ham,lot happened feel quiet beth aunt charlie working lot helen mo
Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,ham,wait 4 bus stop aft ur lect lar dun c go get car come back n pick
"Aight will do, thanks again for comin out",ham,aight thanks comin
No..but heard abt tat..,ham,heard abt tat
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,please call customer service representative freephone 0808 145 4742 9am 11pm guaranteed 1000 cash 5000 prize
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,ham,yes really great bhaji told kallis best cricketer sachin world tough get
&lt;#&gt;  am I think? Should say on syllabus,ham,lt gt think say syllabus
Umma. Did she say anything,ham,umma say anything
Give me a sec to think think about it,ham,give sec think think
Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd8 08000839402 call 2optout
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,ham,quite know still get hold anyone cud pick bout 7 30pm see pub
"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",ham,poyyarikatur kolathupalayam unjalur post erode dis lt gt
"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",ham,dear hero leaving qatar tonite apt opportunity pls keep touch lt email gt kerala
Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,ham,lol would mom would fit tell whole family crazy terrible
"I just got home babe, are you still awake ?",ham,got home babe still awake
I dunno they close oredi not... Ü v ma fan...,ham,dunno close oredi v fan
Just buy a pizza. Meat lovers or supreme. U get to pick.,ham,buy pizza meat lover supreme u get pick
"Ya, told..she was asking wats matter?",ham,ya told asking wats matter
"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",ham,dear regret cudnt pick call drove frm ctla cochin home left mobile car ente style ishtamayoo happy bakrid
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,free 1st week no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mate www getzed co uk pobox 36504 w45wq norm150p tone 16
Shall i send that exe to your mail id.,ham,shall send exe mail id
Nope watching tv at home... Not going out. V bored...,ham,nope watching tv home going v bored
Don know..wait i will check it.,ham,know wait check
"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",ham,good afternoon glorious anniversary day sweet j hope find happy content prey think send teasing kiss across sea coaxing image fond souveniers cougar pen
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,spam,guess somebody know secretly fancy wanna find give u call 09065394514 landline datebox1282essexcm61xn 150p min 18
We still on for tonight?,ham,still tonight
May i call You later Pls,ham,may call later pls
Hasn't that been the pattern recently crap weekends?,ham,pattern recently crap weekend
I have a sore throat. It's scratches when I talk,ham,sore throat scratch talk
Yes da. Any plm at ur office,ham,yes da plm ur office
Are you not around or just still asleep? :V,ham,around still asleep v
"Lol you forgot it eh ? Yes, I'll bring it in babe",ham,lol forgot eh yes bring babe
"Its good, we'll find a way",ham,good find way
Can not use foreign stamps in this country. Good lecture .,ham,use foreign stamp country good lecture
Yup bathe liao...,ham,yup bathe liao
HAPPY NEW YEAR MY NO.1 MAN,ham,happy new year 1 man
"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",ham,oh mr sheffield wanna play game okay bos nanny give raise give one
ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,ham,zoe hit 2 im fucking shitin il defo try hardest 2 cum 2morow luv u million lekdog
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",ham,hello baby get back mom setting computer filling belly go loverboy miss already sigh
"No my blankets are sufficient, thx",ham,blanket sufficient thx
"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",ham,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt
"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",ham,edison rightly said fool ask question wise man answer know u speechless viva gm gn ge gnt
They just talking thats it de. They wont any other.,ham,talking thats de wont
Today am going to college so am not able to atten the class.,ham,today going college able atten class
I'm in class. Will holla later,ham,class holla later
Easy ah?sen got selected means its good..,ham,easy ah sen got selected mean good
Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?,ham,mmm thats better got roast b better drink 2 good indian
"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",spam,know someone know fancy call 09058097218 find pobox 6 ls15hb 150p
"Come round, it's . ",ham,come round
"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",ham,1 thing change sentence want 2 concentrate educational career im leaving
"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",spam,1000 flirting txt girl bloke ur name age eg girl zoe 18 8007 join get chatting
I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?,ham,walked hour 2 c u show care wont u believe im serious
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,18 day euro2004 kickoff u kept informed latest news result daily unsubscribe send get euro stop 83222
Are you available for soiree on June 3rd?,ham,available soiree june 3rd
Do u noe wat time e place dat sells 4d closes?,ham,u noe wat time e place dat sell 4d close
"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",ham,got another job one hospital data analysis something start monday sure thesis got finished
Jay's getting really impatient and belligerent,ham,jay getting really impatient belligerent
HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,ham,hiya comin 2 bristol 1 st week april le got rudi new yr eve snoring drunk u bak college yet work sends ink 2 bath
I'm at work. Please call,ham,work please call
Then u drive lor.,ham,u drive lor
Ard 515 like dat. Y?,ham,ard 515 like dat
Tell me they're female :V how're you throwing in? We're deciding what all to get now,ham,tell female v throwing deciding get
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,spam,eastenders tv quiz flower dot compare violet e tulip f lily txt e f 84025 4 chance 2 win 100 cash wkent 150p16
I'm working technical support :)voice process.networking field.,ham,working technical support voice process networking field
I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,ham,might come kerala 2 day prepared take leave finalise dont plan travel visit need finish urgent work
Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,ham,ok sure time tho sure get library class try see point good eve
We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,spam,new local date area lot new people registered area reply date start 18 www flirtparty u replys150
"That's fine, I'll bitch at you about it later then",ham,fine bitch later
No my mum went 2 dentist.,ham,mum went 2 dentist
Once free call me sir. I am waiting for you.,ham,free call sir waiting
Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham,meeting u work tel shall work tomorrow
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam,someone u know asked dating service 2 contact cant guess call 09058091854 revealed po box385 m6 6wu
Jus finish bathing...,ham,jus finish bathing
"alright, I'll make sure the car is back tonight",ham,alright make sure car back tonight
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,spam,urgent trying contact u today draw show 800 prize guaranteed call 09050003091 land line claim c52 valid12hrs
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,spam,dear u invited xchat final attempt contact u txt chat 86688
Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,ham,lul im gettin juicy gossip hospital two nurse talking fat gettin one think shes obese oyea
Aight ill get on fb in a couple minutes,ham,aight ill get fb couple minute
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,ham,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz
Where can download clear movies. Dvd copies.,ham,download clear movie dvd copy
"Yep, by the pretty sculpture",ham,yep pretty sculpture
Convey my regards to him,ham,convey regard
Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,ham,watching surya movie 6 pm vijay movie pokkiri
You tell what happen dont behave like this to me. Ok no need to say,ham,tell happen dont behave like ok need say
Can u get pic msgs to your phone?,ham,u get pic msg phone
Send to someone else :-),ham,send someone else
Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,ham,wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem
For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,ham,love start attraction feel need every time around first thing come thought would start day end every time dream love every breath name life happen around life named would cry give happiness take sorrow ready fight anyone love craziest thing love proove anyone girl beautiful lady whole planet always singing praise love start making chicken curry end makiing sambar life beautiful get every morning thank god day would like say lot tell later
"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",ham,fr ndship like needle clock though v r clock v r nt able 2 met evn v meet itz 4few second bt v alwys stay conected gud 9t
I don't think he has spatula hands!,ham,think spatula hand
You can never do NOTHING,ham,never nothing
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,spam,awarded sipix digital camera call 09061221061 landline delivery within 28days c box177 m221bp 2yr warranty 150ppm 16 p p 3 99
Goodmorning today i am late for  &lt;DECIMAL&gt; min.,ham,goodmorning today late lt decimal gt min
WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,spam,win urgent mobile number awarded 2000 prize guaranteed call 09061790121 land line claim 3030 valid 12hrs 150ppm
Please da call me any mistake from my side sorry da. Pls da goto doctor.,ham,please da call mistake side sorry da pls da goto doctor
Where r we meeting?,ham,r meeting
"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",ham,well weather cali great complexity great need car move freely tax outrageous great place sad part missing home
Now only i reached home. . . I am very tired now. . I will come tomorro,ham,reached home tired come tomorro
Ryder unsold.now gibbs.,ham,ryder unsold gibbs
Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,spam,dear subscriber ur draw 4 100 gift voucher b entered receipt correct an elvis presley birthday txt answer 80062
Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,ham,fret buy ovulation test strip send wont get til like march send postal address u alright okay
NO GIFTS!! You trying to get me to throw myself off a cliff or something?,ham,gift trying get throw cliff something
Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,ham,ne thing interesting good birthday u wrking nxt started uni today
You busy or can I come by at some point and figure out what we're doing tomorrow,ham,busy come point figure tomorrow
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",ham,yeah go bored depressed sittin waitin phone ring hope wind drop though scary
Black shirt n blue jeans... I thk i c ü...,ham,black shirt n blue jean thk c
Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,ham,aiyah sorry lor watch tv watch forgot 2 check phone
Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,spam,message important information o2 user today lucky day 2 find log onto http www urawinner com fantastic surprise awaiting
on hen night. Going with a swing,ham,hen night going swing
"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",ham,good afternoon love go day woke early online waiting hmmm italian boy online see grin
From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,ham,someone smoke every time smoked last two week calling texting wanted smoke
No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),ham,get headache trying figure u trust math promise
S s..first time..dhoni rocks...,ham,first time dhoni rock
Ok ill tell the company,ham,ok ill tell company
"Awesome, think we can get an 8th at usf some time tonight?",ham,awesome think get 8th usf time tonight
So that means you still think of teju,ham,mean still think teju
"No I'm good for the movie, is it ok if I leave in an hourish?",ham,good movie ok leave hourish
No no:)this is kallis home ground.amla home town is durban:),ham,kallis home ground amla home town durban
So lets make it saturday or monday as per convenience.,ham,let make saturday monday per convenience
Hey... What time is your driving on fri? We go for evaluation on fri?,ham,hey time driving fri go evaluation fri
"449050000301 You have won a £2,000 price! To claim, call 09050000301.",spam,449050000301 2 000 price claim call 09050000301
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,ham,going 4 lunch wif family aft dat go str 2 orchard lor
"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",spam,bored speed dating try speedchat txt speedchat 80155 like em txt swap get new chatter chat80155 pobox36504w45wq 150p msg rcd 16
Cancel cheyyamo?and get some money back?,ham,cancel cheyyamo get money back
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,spam,want 750 anytime network min 150 text new video phone five pound per week call 08000776320 reply delivery tomorrow
Ok.ok ok..then..whats ur todays plan,ham,ok ok ok whats ur today plan
Good morning princess! How are you?,ham,good morning princess
Aiyar sorry lor forgot 2 tell u...,ham,aiyar sorry lor forgot 2 tell u
For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,spam,taking part mobile survey yesterday 500 text 2 use however wish 2 get txts send txt 80160 c www txt43 com 1 50p
Not tonight mate. Catching up on some sleep. This is my new number by the way. ,ham,tonight mate catching sleep new number way
"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D",ham,height oh shit situation guy throw luv letter gal fall brother head who gay
Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,spam,ur hmv quiz cash balance currently 500 maximize ur cash send hmv1 86688 150p msg
"So check your errors and if you had difficulties, do correction.",ham,check error difficulty correction
Howz pain?hope u r fine..,ham,howz pain hope u r fine
"Sorry, I'll call later",ham,sorry call later
Good morning princess! How are you?,ham,good morning princess
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went
U wake up already? Thanx 4 e tau sar piah it's quite nice.,ham,u wake already thanx 4 e tau sar piah quite nice
K do I need a login or anything,ham,k need login anything
Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,spam,dont forget place many free request 1stchoice co uk wish information call 08707808226
LOL ... No just was busy,ham,lol busy
What * u wearing?,ham,u wearing
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
Oh:)as usual vijay film or its different?,ham,oh usual vijay film different
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam,know u u know send chat 86688 let find 150p msg rcvd hg suite342 2lands row w1j6hl ldn 18 year
Have you had a good day? Mine was really busy are you up to much tomorrow night?,ham,good day mine really busy much tomorrow night
And is there a way you can send shade's stuff to her. And she has been wonderful too.,ham,way send shade stuff wonderful
Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,ham,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf 2 study
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",spam,thank winner notified sm good luck future marketing reply stop 84122 customer service 08450542832
Babe ? I lost you ... :-(,ham,babe lost
Ok... Help me ask if she's working tmr a not?,ham,ok help ask working tmr
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham,driving raining get caught e mrt station lor
Not a drop in the tank,ham,drop tank
(That said can you text him one more time?),ham,said text one time
"Sorry, I'll call later",ham,sorry call later
Ok i go change also...,ham,ok go change also
1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m),spam,1000 girl many local 2 u r virgin 2 r ready 2 4fil ur every sexual need u 4fil text cute 69911 1 50p
Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,ham,u find sitter kaitlyn sick slept day yesterday
